0

HTTP/1.1 200 OK
Server: nginx
Date: Thu, 08 Jun 2017 08:42:46 GMT
Content-Type: application/octet-stream
Transfer-Encoding: chunked
Connection: keep-alive
Pragma: no-cache
Cache-Control: no-cache
Accept-Ranges: bytes
Last-Modified: Thu, 01 Jun 2017 05:15:53 GMT
Content-Range: bytes 0-1065009/1065010
ETag: "1496294153.22-1065010"

1f0f
﻿第三階層,年,月,レコード数,日付,ページ パス レベル 3,ページビュー数,ページ別訪問数,年月
b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040,2016年,04月,1,2016/04/15,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040,6,1,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040&tags=統計,2016年,04月,1,2016/04/15,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0040&tags=統計,2,1,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0060,2016年,04月,1,2016/04/15,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?organization=org_0060,1,1,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?tags=統計,2016年,04月,1,2016/04/15,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?tags=統計,1,1,201604
b18a8508-9e22-4355-9d36-d8c4d94b7df9?tags=統計&organization=org_0060,2016年,04月,1,2016/04/15,/b18a8508-9e22-4355-9d36-d8c4d94b7df9?tags=統計&organization=org_0060,1,1,201604
c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0120,2016年,04月,1,2016/04/15,/c2ed703e-ebd0-447e-9b14-cd6aac1ecf8b?organization=org_0120,2,1,201604
dataset-00000001,2016年,04月,1,2016/04/15,/dataset-00000001,2,1,201604
dataset-00000001,2016年,04月,1,2016/04/15,/dataset-00000001/,1,1,201604
dataset-00000002,2016年,04月,1,2016/04/15,/dataset-00000002,1,1,201604
dataset-00000002,2016年,04月,1,2016/04/15,/dataset-00000002/,2,2,201604
dataset-00000004,2016年,04月,1,2016/04/15,/dataset-00000004,2,1,201604
dataset-00000004,2016年,04月,1,2016/04/15,/dataset-00000004/,2,2,201604
dataset-00000005,2016年,04月,1,2016/04/15,/dataset-00000005,2,2,201604
dataset-00000005,2016年,04月,1,2016/04/15,/dataset-00000005/,2,2,201604
dataset-00000006,2016年,04月,1,2016/04/15,/dataset-00000006,2,1,201604
dataset-00000006,2016年,04月,1,2016/04/15,/dataset-00000006/,2,2,201604
dataset-00000007,2016年,04月,1,2016/04/15,/dataset-00000007,10,7,201604
dataset-00000007,2016年,04月,1,2016/04/15,/dataset-00000007/,10,8,201604
dataset-00000008,2016年,04月,1,2016/04/15,/dataset-00000008,2,1,201604
dataset-00000008,2016年,04月,1,2016/04/15,/dataset-00000008/,2,2,201604
dataset-00000009,2016年,04月,1,2016/04/15,/dataset-00000009,9,5,201604
dataset-00000009,2016年,04月,1,2016/04/15,/dataset-00000009/,4,4,201604
dataset-00000010,2016年,04月,1,2016/04/15,/dataset-00000010,3,3,201604
dataset-00000010,2016年,04月,1,2016/04/15,/dataset-00000010/,2,2,201604
dataset-00000011,2016年,04月,1,2016/04/15,/dataset-00000011,33,18,201604
dataset-00000011,2016年,04月,1,2016/04/15,/dataset-00000011/,30,30,201604
dataset-00000012,2016年,04月,1,2016/04/15,/dataset-00000012,13,9,201604
dataset-00000012,2016年,04月,1,2016/04/15,/dataset-00000012/,10,10,201604
dataset-00000018,2016年,04月,1,2016/04/15,/dataset-00000018,6,1,201604
dataset-00000018,2016年,04月,1,2016/04/15,/dataset-00000018/,2,2,201604
dataset-00000037,2016年,04月,1,2016/04/15,/dataset
2000
-00000037,2,1,201604
dataset-00000037,2016年,04月,1,2016/04/15,/dataset-00000037/,2,1,201604
dataset-00000045,2016年,04月,1,2016/04/15,/dataset-00000045,2,2,201604
dataset-00000045,2016年,04月,1,2016/04/15,/dataset-00000045/,2,2,201604
dataset-00000046,2016年,04月,1,2016/04/15,/dataset-00000046,1,1,201604
dataset-00000047,2016年,04月,1,2016/04/15,/dataset-00000047,1,1,201604
dataset-00000047,2016年,04月,1,2016/04/15,/dataset-00000047/,1,1,201604
dataset-00000048,2016年,04月,1,2016/04/15,/dataset-00000048,1,1,201604
dataset-00000048,2016年,04月,1,2016/04/15,/dataset-00000048/,1,1,201604
dataset-00000050,2016年,04月,1,2016/04/15,/dataset-00000050,4,4,201604
dataset-00000051,2016年,04月,1,2016/04/15,/dataset-00000051,5,4,201604
dataset-00000051,2016年,04月,1,2016/04/15,/dataset-00000051/,2,1,201604
dataset-00000052,2016年,04月,1,2016/04/15,/dataset-00000052,2,2,201604
dataset-00000053,2016年,04月,1,2016/04/15,/dataset-00000053,8,4,201604
dataset-00000053,2016年,04月,1,2016/04/15,/dataset-00000053/,9,9,201604
dataset-00000054,2016年,04月,1,2016/04/15,/dataset-00000054,18,13,201604
dataset-00000054,2016年,04月,1,2016/04/15,/dataset-00000054/,16,16,201604
ea98c354-262b-4cff-a061-477b74f43bcc?organization=org_0040,2016年,04月,1,2016/04/15,/ea98c354-262b-4cff-a061-477b74f43bcc?organization=org_0040,1,1,201604
ea98c354-262b-4cff-a061-477b74f43bcc?organization=org_0040&license_id=CC-BY,2016年,04月,1,2016/04/15,/ea98c354-262b-4cff-a061-477b74f43bcc?organization=org_0040&license_id=CC-BY,1,1,201604
gr_0010,2016年,04月,1,2016/04/15,/gr_0010,50,34,201604
gr_0020,2016年,04月,1,2016/04/15,/gr_0020,29,26,201604
gr_0020?page=1,2016年,04月,1,2016/04/15,/gr_0020?page=1,1,1,201604
gr_0020?page=2,2016年,04月,1,2016/04/15,/gr_0020?page=2,2,2,201604
gr_0030,2016年,04月,1,2016/04/15,/gr_0030,12,11,201604
gr_0040,2016年,04月,1,2016/04/15,/gr_0040,12,11,201604
gr_0050,2016年,04月,1,2016/04/15,/gr_0050,19,16,201604
gr_0060,2016年,04月,1,2016/04/15,/gr_0060,14,12,201604
gr_0070,2016年,04月,1,2016/04/15,/gr_0070,11,9,201604
