number,name,zipcode,area,location,lat,lng,category,note
109,岡田整形外科医院,657-0843,灘区,神戸市灘区大石北町7-22,34.706606,135.231577,医療関連施設,対応不可
110,陰下循環器内科,657-0065,灘区,神戸市灘区宮山町3-3-1,34.720192,135.233875,医療関連施設,対応不可
111,中林整形外科クリニック,657-0831,灘区,神戸市灘区水道筋4-3-14,34.712908,135.222842,医療関連施設,対応不可
112,内科クリニック岡田,657-0825,灘区,神戸市灘区中原通2-1-3,34.714164,135.223908,医療関連施設,対応不可
114,瀬戸本医院,657-0834,灘区,神戸市灘区泉通5-1-8,34.709982,135.223991,医療関連施設,対応不可
115,中迫医院,657-0063,灘区,神戸市灘区曽和町2-1-5,34.72192,135.234743,医療関連施設,対応不可
116,飯尾整形外科クリニック,657-0067,灘区,神戸市灘区篠原本町1-7-19-1F,34.721617,135.231834,医療関連施設,対応不可
117,松本医院,657-0059,灘区,神戸市灘区篠原南町2-4-5,34.717687,135.231141,医療関連施設,対応不可
118,黒木医院,657-0033,灘区,神戸市灘区徳井町5-1-7,34.713865,135.244014,医療関連施設,対応不可
120,たかやすクリニック,657-0038,灘区,神戸市灘区深田町4-1-1-301,34.713937,135.238777,医療関連施設,対応不可
121,川岸医院,657-0821,灘区,神戸市灘区赤坂通1-1-15,34.718273,135.224446,医療関連施設,対応不可
122,門田外科医院,657-0825,灘区,神戸市灘区中原通6-3-15,34.712903,135.220526,医療関連施設,対応不可
123,やまだ小児科,657-0831,灘区,神戸市灘区水道筋6-2-18,34.711871,135.221221,医療関連施設,対応不可
124,東和医院,657-0846,灘区,神戸市灘区岩屋北町4-3-5,34.704551,135.217612,医療関連施設,対応不可
125,梶山小児科,657-0822,灘区,神戸市灘区畑原通3-1-17,34.716461,135.223,医療関連施設,対応不可
126,川口クリニック,657-0831,灘区,神戸市灘区水道筋5-2-17,34.712583,135.22238,医療関連施設,対応不可
127,はたに内科,657-0028,灘区,神戸市灘区森後町2-2-22,34.716478,135.238308,医療関連施設,対応不可
129,郡山内科,657-0067,灘区,神戸市灘区篠原本町1-1-1,34.720553,135.232196,医療関連施設,対応不可
130,灘ひかり薬局,657-0817,灘区,神戸市灘区上野通4-4-19,34.717607,135.219887,医療関連施設,対応不可
131,灘薬剤師会,657-0038,灘区,神戸市灘区深田町4-1-1,34.714079,135.238922,医療関連施設,対応不可
132,光和調剤薬局,657-0043,灘区,神戸市灘区大石東町4-5-18,34.708543,135.235194,医療関連施設,対応不可
133,上田歯科医院,657-0846,灘区,神戸市灘区岩屋北町3-3-12,34.705368,135.219281,医療関連施設,対応不可
134,渡邊クリニック,657-0038,灘区,神戸市灘区深田町2-2-19,34.715453,135.241432,医療関連施設,対応不可
